License_Number,License_Type,Business_Owner,Business_Contact_Information,Business_Structure,Premise_Address,Status,Issue_Date,Expiration_Date,Activities,Adult-Use/Medicinal,lat,long
C10-0000614-LIC,Cannabis - Retailer License,Terry Muller,"OUTER SUNSET HOLDINGS, LLC  : Barbary Coast Sunset : Email- terry@barbarycoastsf.com : Phone- 5107173246",Limited Liability Company,"2165 IRVING ST san francisco, CA 94122",Active,9/13/2019,9/12/2020,N/A for this license type,BOTH,37.7631809924558,-122.481131964587
C10-0000586-LIC,Cannabis - Retailer License,Jeremy Goodin,URBAN FLOWERS  : Urban Pharm : Email- hilary@urbanpharmsf.com : Phone- 9168335343 : Website- www.up415.com,Corporation,"122 10TH ST SAN FRANCISCO, CA 941032605",Active,8/26/2019,8/25/2020,N/A for this license type,BOTH,37.7748030041227,-122.415726968281
C10-0000587-LIC,Cannabis - Retailer License,Justin Jarin,"CCPC, INC.  : The Green Door : Email- alicia@greendoorsf.com : Phone- 4155419590 : Website- www.greendoorsf.com",Corporation,"843 Howard ST SAN FRANCISCO, CA 94103",Active,8/26/2019,8/25/2020,N/A for this license type,BOTH,37.7822820086881,-122.403528030218
C10-0000539-LIC,Cannabis - Retailer License,Ondyn Herschelle,SEVENTY SECOND STREET  : Flower Power SF : Email- flowerpowersf@hotmail.com : Phone- 5103681262 : Website- flowerpowerdispensary.com,Corporation,"70 SECOND ST SAN FRANCISCO, CA 94105",Active,8/5/2019,8/4/2020,N/A for this license type,BOTH,37.7882259934155,-122.400442986936
C10-0000522-LIC,Cannabis - Retailer License,Ryan Hudson,"HOWARD STREET PARTNERS, LLC  : The Apothecarium : Email- Ryan@apothecarium.com : Phone- 4157469001 : Website- www.apothecarium.com",Limited Liability Company,"527 Howard ST San Francisco, CA 94105",Active,7/29/2019,7/28/2020,N/A for this license type,BOTH,37.7878289845715,-122.396524028106
C10-0000523-LIC,Cannabis - Retailer License,Ryan Hudson,"DEEP THOUGHT, LLC  : The Apothecarium : Email- ryan@pothecarium.com : Phone- 4157469001 : Website- www.Apothecarium.com",Limited Liability Company,"2414 Lombard ST San Francisco, CA 94123",Active,7/29/2019,7/28/2020,N/A for this license type,BOTH,37.7994450031777,-122.441369976123
C10-0000527-LIC,Cannabis - Retailer License,Cameron Wald,ACCESS BRYANT SPC  : Project Cannabis SF : Email- cwald@mmacus.com : Phone- 4245129030,Corporation,"761 BRYANT ST SAN FRANCISCO, CA 941071014",Active,7/29/2019,7/28/2020,N/A for this license type,BOTH,37.7765689873028,-122.401375976578
C10-0000512-LIC,Cannabis - Retailer License,Almir Guimaraes,SAN FRANCISCO FOUNDATION ON GOING GREEN : Email- almir@sffogg.com : Phone- 4153121680 : Website- www.sffogg.com,Corporation,"211 12th ST San Francisco, CA 941033717",Active,7/26/2019,7/25/2020,N/A for this license type,BOTH,37.7717599960844,-122.416546969869
C10-0000515-LIC,Cannabis - Retailer License,Ryan Hudson,"RHMT, LLC  : The Apothecarium : Email- ryan@apothecarium.com : Phone- 4157469001 : Website- www.Apothecarium.com",Limited Liability Company,"2029 MARKET ST SAN FRANCISCO, CA 94114",Active,7/26/2019,7/25/2020,N/A for this license type,BOTH,37.7683100047374,-122.427417041002
C10-0000490-LIC,Cannabis - Retailer License,Michael Breyburg,"MED THRIVE COOPERATIVE, INC.  : MEDITHIRVE : Email- MBREYBURG@GMAIL.COM : Phone- 4157602264 : Website- WWW.MEDITHRIVE.COM",Corporation,"1933 MISSION ST SAN FRANCISCO, CA 941033441",Active,7/24/2019,7/23/2020,N/A for this license type,BOTH,37.7661610104917,-122.419505027318
